Time;Survival;Time;Time;Survival;Time,Survival
0.0867992766726964;0.996168582459477;0.0867992766726964;0.0867992766726964;0.996168582459477;0.0867992766726964,0.996168582459477
0.0867992766726964;0.990421456148693;0.0867992766726964;0.0867992766726964;0.990421456148693;0.0867992766726964,0.990421456148693
0.0867992766726964;0.98659003860817;0.0867992766726964;0.0867992766726964;0.98659003860817;0.0867992766726964,0.98659003860817
0.0867992766726964;0.980842912297386;0.0867992766726964;0.0867992766726964;0.980842912297386;0.0867992766726964,0.980842912297386
0.173598553345391;0.975095785986602;0.173598553345391;0.173598553345391;0.975095785986602;0.173598553345391,0.975095785986602
0.260397830018087;0.967432950905556;0.260397830018087;0.260397830018087;0.967432950905556;0.260397830018087,0.967432950905556
0.260397830018087;0.959770115824511;0.260397830018087;0.260397830018087;0.959770115824511;0.260397830018087,0.959770115824511
0.34719710669078;0.952107280743465;0.34719710669078;0.34719710669078;0.952107280743465;0.34719710669078,0.952107280743465
0.433996383363475;0.946360154432681;0.433996383363475;0.433996383363475;0.946360154432681;0.433996383363475,0.946360154432681
0.520795660036169;0.938697319351635;0.520795660036169;0.520795660036169;0.938697319351635;0.520795660036169,0.938697319351635
0.520795660036169;0.929118775500328;0.520795660036169;0.520795660036169;0.929118775500328;0.520795660036169,0.929118775500328
0.520795660036169;0.919540231649021;0.520795660036169;0.520795660036169;0.919540231649021;0.520795660036169,0.919540231649021
0.520795660036169;0.911877396567975;0.520795660036169;0.520795660036169;0.911877396567975;0.520795660036169,0.911877396567975
0.520795660036169;0.906130270257191;0.520795660036169;0.520795660036169;0.906130270257191;0.520795660036169,0.906130270257191
0.520795660036169;0.900383143946407;0.520795660036169;0.520795660036169;0.900383143946407;0.520795660036169,0.900383143946407
0.607594936708864;0.896551726405884;0.607594936708864;0.607594936708864;0.896551726405884;0.607594936708864,0.896551726405884
0.694394213381559;0.892720308865361;0.694394213381559;0.694394213381559;0.892720308865361;0.694394213381559,0.892720308865361
0.694394213381559;0.885057473784316;0.694394213381559;0.694394213381559;0.885057473784316;0.694394213381559,0.885057473784316
0.781193490054251;0.879310347473532;0.781193490054251;0.781193490054251;0.879310347473532;0.781193490054251,0.879310347473532
0.954792043399642;0.875478929933009;0.954792043399642;0.954792043399642;0.875478929933009;0.954792043399642,0.875478929933009
0.954792043399642;0.869731803622225;0.954792043399642;0.954792043399642;0.869731803622225;0.954792043399642,0.869731803622225
104.159.132.007.234;0.862068968541179;1.04159132007234;1.04159132007234;0.862068968541179;1.04159132007234,0.862068968541179
104.159.132.007.234;0.856321842230395;1.04159132007234;1.04159132007234;0.856321842230395;1.04159132007234,0.856321842230395
104.159.132.007.234;0.848659007149349;1.04159132007234;1.04159132007234;0.848659007149349;1.04159132007234,0.848659007149349
104.159.132.007.234;0.840996172068303;1.04159132007234;1.04159132007234;0.840996172068303;1.04159132007234,0.840996172068303
104.159.132.007.234;0.833333336987258;1.04159132007234;1.04159132007234;0.833333336987258;1.04159132007234,0.833333336987258
104.159.132.007.234;0.825670501906212;1.04159132007234;1.04159132007234;0.825670501906212;1.04159132007234,0.825670501906212
104.159.132.007.234;0.818007666825167;1.04159132007234;1.04159132007234;0.818007666825167;1.04159132007234,0.818007666825167
121.518.987.341.772;0.816091958054905;1.21518987341772;1.21518987341772;0.816091958054905;1.21518987341772,0.816091958054905
121.518.987.341.772;0.810344831744121;1.21518987341772;1.21518987341772;0.810344831744121;1.21518987341772,0.810344831744121
121.518.987.341.772;0.802681996663075;1.21518987341772;1.21518987341772;0.802681996663075;1.21518987341772,0.802681996663075
121.518.987.341.772;0.79501916158203;1.21518987341772;1.21518987341772;0.79501916158203;1.21518987341772,0.79501916158203
121.518.987.341.772;0.787356326500984;1.21518987341772;1.21518987341772;0.787356326500984;1.21518987341772,0.787356326500984
121.518.987.341.772;0.7816092001902;1.21518987341772;1.21518987341772;0.7816092001902;1.21518987341772,0.7816092001902
121.518.987.341.772;0.775862073879416;1.21518987341772;1.21518987341772;0.775862073879416;1.21518987341772,0.775862073879416
121.518.987.341.772;0.770114947568632;1.21518987341772;1.21518987341772;0.770114947568632;1.21518987341772,0.770114947568632
