Time;Survival;;;;Time,Survival
0.0610687022900827;0.996699669966997;0.0610687022900827;0.0610687022900827;0.996699669966997;0.0610687022900827,0.996699669966997
0.122137404580159;0.991749174917492;0.122137404580159;0.122137404580159;0.991749174917492;0.122137404580159,0.991749174917492
0.305343511450388;0.99009900990099;0.305343511450388;0.305343511450388;0.99009900990099;0.305343511450388,0.99009900990099
0.366412213740464;0.985148514851485;0.366412213740464;0.366412213740464;0.985148514851485;0.366412213740464,0.985148514851485
0.42748091603054;0.98019801980198;0.42748091603054;0.42748091603054;0.98019801980198;0.42748091603054,0.98019801980198
0.42748091603054;0.976897689768977;0.42748091603054;0.42748091603054;0.976897689768977;0.42748091603054,0.976897689768977
0.488549618320617;0.971947194719472;0.488549618320617;0.488549618320617;0.971947194719472;0.488549618320617,0.971947194719472
0.488549618320617;0.966996699669967;0.488549618320617;0.488549618320617;0.966996699669967;0.488549618320617,0.966996699669967
0.488549618320617;0.963696369636964;0.488549618320617;0.488549618320617;0.963696369636964;0.488549618320617,0.963696369636964
0.549618320610693;0.962046204620462;0.549618320610693;0.549618320610693;0.962046204620462;0.549618320610693,0.962046204620462
0.61068702290077;0.958745874587459;0.61068702290077;0.61068702290077;0.958745874587459;0.61068702290077,0.958745874587459
0.671755725190845;0.952145214521452;0.671755725190845;0.671755725190845;0.952145214521452;0.671755725190845,0.952145214521452
0.671755725190845;0.948844884488449;0.671755725190845;0.671755725190845;0.948844884488449;0.671755725190845,0.948844884488449
0.671755725190845;0.942244224422442;0.671755725190845;0.671755725190845;0.942244224422442;0.671755725190845,0.942244224422442
0.671755725190845;0.938943894389439;0.671755725190845;0.671755725190845;0.938943894389439;0.671755725190845,0.938943894389439
0.671755725190845;0.932343234323432;0.671755725190845;0.671755725190845;0.932343234323432;0.671755725190845,0.932343234323432
0.732824427480922;0.929042904290429;0.732824427480922;0.732824427480922;0.929042904290429;0.732824427480922,0.929042904290429
0.793893129770998;0.925742574257426;0.793893129770998;0.793893129770998;0.925742574257426;0.793893129770998,0.925742574257426
0.916030534351151;0.922442244224423;0.916030534351151;0.916030534351151;0.922442244224423;0.916030534351151,0.922442244224423
0.916030534351151;0.920792079207921;0.916030534351151;0.916030534351151;0.920792079207921;0.916030534351151,0.920792079207921
0.977099236641227;0.915841584158416;0.977099236641227;0.977099236641227;0.915841584158416;0.977099236641227,0.915841584158416
0.977099236641227;0.912541254125413;0.977099236641227;0.977099236641227;0.912541254125413;0.977099236641227,0.912541254125413
10.381.679.389.313;0.909240924092409;1.0381679389313;1.0381679389313;0.909240924092409;1.0381679389313,0.909240924092409
109.923.664.122.138;0.904290429042904;1.09923664122138;1.09923664122138;0.904290429042904;1.09923664122138,0.904290429042904
109.923.664.122.138;0.899339933993399;1.09923664122138;1.09923664122138;0.899339933993399;1.09923664122138,0.899339933993399
116.030.534.351.146;0.894389438943894;1.16030534351146;1.16030534351146;0.894389438943894;1.16030534351146,0.894389438943894
122.137.404.580.153;0.891089108910891;1.22137404580153;1.22137404580153;0.891089108910891;1.22137404580153,0.891089108910891
122.137.404.580.153;0.886138613861386;1.22137404580153;1.22137404580153;0.886138613861386;1.22137404580153,0.886138613861386
122.137.404.580.153;0.882838283828383;1.22137404580153;1.22137404580153;0.882838283828383;1.22137404580153,0.882838283828383
128.244.274.809.161;0.87953795379538;1.28244274809161;1.28244274809161;0.87953795379538;1.28244274809161,0.87953795379538
134.351.145.038.169;0.876237623762376;1.34351145038169;1.34351145038169;0.876237623762376;1.34351145038169,0.876237623762376
134.351.145.038.169;0.871287128712871;1.34351145038169;1.34351145038169;0.871287128712871;1.34351145038169,0.871287128712871
140.458.015.267.176;0.867986798679868;1.40458015267176;1.40458015267176;0.867986798679868;1.40458015267176,0.867986798679868
146.564.885.496.184;0.864686468646865;1.46564885496184;1.46564885496184;0.864686468646865;1.46564885496184,0.864686468646865
158.778.625.954.199;0.861386138613861;1.58778625954199;1.58778625954199;0.861386138613861;1.58778625954199,0.861386138613861
158.778.625.954.199;0.856435643564357;1.58778625954199;1.58778625954199;0.856435643564357;1.58778625954199,0.856435643564357
164.885.496.183.207;0.854785478547855;1.64885496183207;1.64885496183207;0.854785478547855;1.64885496183207,0.854785478547855
170.992.366.412.214;0.84983498349835;1.70992366412214;1.70992366412214;0.84983498349835;1.70992366412214,0.84983498349835
170.992.366.412.214;0.848184818481848;1.70992366412214;1.70992366412214;0.848184818481848;1.70992366412214,0.848184818481848
170.992.366.412.214;0.843234323432343;1.70992366412214;1.70992366412214;0.843234323432343;1.70992366412214,0.843234323432343
170.992.366.412.214;0.83993399339934;1.70992366412214;1.70992366412214;0.83993399339934;1.70992366412214,0.83993399339934
177.099.236.641.222;0.834983498349835;1.77099236641222;1.77099236641222;0.834983498349835;1.77099236641222,0.834983498349835
18.320.610.687.023;0.828382838283828;1.8320610687023;1.8320610687023;0.828382838283828;1.8320610687023,0.828382838283828
189.312.977.099.237;0.825082508250825;1.89312977099237;1.89312977099237;0.825082508250825;1.89312977099237,0.825082508250825
189.312.977.099.237;0.82013201320132;1.89312977099237;1.89312977099237;0.82013201320132;1.89312977099237,0.82013201320132
189.312.977.099.237;0.815181518151815;1.89312977099237;1.89312977099237;0.815181518151815;1.89312977099237,0.815181518151815
195.419.847.328.245;0.808580858085809;1.95419847328245;1.95419847328245;0.808580858085809;1.95419847328245,0.808580858085809
195.419.847.328.245;0.805280528052805;1.95419847328245;1.95419847328245;0.805280528052805;1.95419847328245,0.805280528052805
